# SYNTHETIC demo — per-window popstats — gen_candidate_demo.py
window_id	chrom	start	end	pi	dxy_H1_H2	arrangement_FST_like	HWE_FIS	heterozygosity_obs	heterozygosity_exp
LRR03_W001	C_gar_LG07	11100000	11199999	0.00394	0.008209	0.382631	0.009895	0.430894	0.438929
LRR03_W002	C_gar_LG07	11200000	11299999	0.003335	0.006442	0.343522	0.013656	0.429257	0.434933
LRR03_W003	C_gar_LG07	11300000	11399999	0.004239	0.008302	0.292643	0.016146	0.428173	0.438456
LRR03_W004	C_gar_LG07	11400000	11499999	0.004669	0.010372	0.269754	-0.049276	0.456645	0.431744
LRR03_W005	C_gar_LG07	11500000	11599999	0.004136	0.008904	0.380638	-0.000261	0.435314	0.436673
LRR03_W006	C_gar_LG07	11600000	11699999	0.004524	0.009449	0.31824	-0.054836	0.459065	0.438023
LRR03_W007	C_gar_LG07	11700000	11799999	0.003672	0.008215	0.333281	-0.033697	0.449865	0.43148
LRR03_W008	C_gar_LG07	11800000	11899999	0.003703	0.00794	0.341773	-0.049029	0.456537	0.430904
LRR03_W009	C_gar_LG07	11900000	11999999	0.004139	0.008791	0.292093	-0.040113	0.452657	0.436211
LRR03_W010	C_gar_LG07	12000000	12099999	0.003317	0.006728	0.303711	0.018715	0.427055	0.436646
LRR03_W011	C_gar_LG07	12100000	12199999	0.004714	0.00987	0.267563	-0.038235	0.45184	0.439806
LRR03_W012	C_gar_LG07	12200000	12299999	0.004427	0.009066	0.233486	-0.018135	0.443092	0.436945
LRR03_W013	C_gar_LG07	12300000	12399999	0.003972	0.00805	0.336777	0.016013	0.428231	0.432468
LRR03_W014	C_gar_LG07	12400000	12499999	0.003355	0.006851	0.297289	-0.003395	0.436678	0.432181
LRR03_W015	C_gar_LG07	12500000	12599999	0.004575	0.009894	0.310781	-0.041583	0.453297	0.439899
LRR03_W016	C_gar_LG07	12600000	12699999	0.003799	0.008362	0.266929	-0.040285	0.452732	0.437805
LRR03_W017	C_gar_LG07	12700000	12799999	0.003772	0.008464	0.309322	-0.043015	0.45392	0.432433
LRR03_W018	C_gar_LG07	12800000	12899999	0.003967	0.008529	0.381802	-0.046289	0.455345	0.434135
LRR03_W019	C_gar_LG07	12900000	12999999	0.003641	0.008215	0.252706	-0.053853	0.458637	0.430801
LRR03_W020	C_gar_LG07	13000000	13099999	0.003929	0.008729	0.371373	0.000618	0.434931	0.440175
LRR03_W021	C_gar_LG07	13100000	13199999	0.004791	0.009856	0.259682	0.016871	0.427858	0.437663
LRR03_W022	C_gar_LG07	13200000	13299999	0.003351	0.007234	0.290579	-0.028089	0.447424	0.433517
LRR03_W023	C_gar_LG07	13300000	13399999	0.003571	0.006903	0.274769	-0.029883	0.448205	0.439755
LRR03_W024	C_gar_LG07	13400000	13499999	0.003498	0.007903	0.263184	-0.02947	0.448025	0.438416
LRR03_W025	C_gar_LG07	13500000	13599999	0.004615	0.00961	0.237881	-0.020123	0.443958	0.433927
LRR03_W026	C_gar_LG07	13600000	13699999	0.004771	0.009651	0.28828	0.013759	0.429212	0.430503
